category,product_id,price
shoes,dCgYSwwE8gjlmm7u,122.19
shoes,GyoBFMLpSxMyYNXJ,128.99
shoes,LJFl3aX0EUW84u06,110.99
shoes,SIKFeFci7HLldbiL,137.99
shoes,qFBRZdMfS00mk0x8,112.99
shoes,5S0HofP6wP7TXQbm,114.99
shoes,t3qGXTgA4SvSq92B,114.99
shoes,IMWN7BvRKgXkMMNy,154.1
shoes,AinHMrbMn8ygQnjq,116.99
shoes,SuLEtq5M9tTAFPYP,129.79
shoes,9lzM60oQqgn9caz3,112.23
shoes,XZOJ0u8La6ESyzH5,105.4
shoes,cezoMdKy7iCHhCfX,121.99
shoes,gsuw7nb3dTpmHBF6,105.99
shoes,7Tpcs5DusLpdPKpK,113.73
shoes,gOWIBse9ePNaXauZ,103.45
shoes,1WBy0G7SiZ6RvLID,129.99
shoes,ZOG9sGcApC6Nbfp1,116.4
shoes,Mgyuj11bZz9hqJsQ,97.99
shoes,aovtHAh9GDaUlttY,98.75
shoes,ldHaq0KRQxLG6qbW,99.3
shoes,EzIWJ0iyea6sW56N,164.19
shoes,UOLEcyF7onRbvmje,143.99
shoes,eDTOwmXqQrkvQhp5,120.42
shoes,L4NX1HpzFJtQKPnx,106.99
shoes,sOVwYcpQexTcJYDC,121.12
shoes,DfmmFy6gohMEh89Y,104.48
shoes,t2zcijDw0pqQsD0V,94.99
shoes,vi3AuwTYrGeut8XB,108.04
shoes,AjO59Z6ml7wcFeU9,109.01
shoes,s9NklX7sOXpAeoIU,143.39
shoes,wCRkCC3tcoD08Lbq,145.79
shoes,M3xFS68nKFog9TNr,115.58
shoes,rdypCmGVZDLXOtin,137.93
shoes,qxgzKDxGeNBjGnhx,130.99
shoes,NF7styP8W5t2DDKt,110.35
shoes,tcxceVVnAgcaf16X,99.32
shoes,0gBQny96CZiYHtSt,108.99
shoes,VvXXgcWGGccNi6m2,127.87
shoes,6ktgYgwvOEhSIfJs,121.43
shoes,BTQzjx33OVxPrFGc,107.99
shoes,AEiEczzlAQgbGTBw,150.06
shoes,ZZG2Tfut9pDqMoiz,130.44
shoes,E3vuw7R6RH6zX4JM,112.99
shoes,VdkFVq1Qo68m2akr,117.99
shoes,2BLgYzcyywxTxnMY,94.83
shoes,9l3LUSPSFP4bso3X,98.1
shoes,baZSCydTcBlphSse,164.99
shoes,dFwcQDgi9EatQ9rd,135.99
shoes,TMBrag9TsVfuOD4u,125.01
shoes,jm7lbkLDbsMO26fI,86.99
shoes,SV3hrItmsynkCxgD,152.5
shoes,djDfDta3m0CY7ght,134.99
shoes,oDuYHas2Hvd6pWLa,105.2
shoes,Nh6gfSlkBy8VQs1T,117.08
shoes,nl0O5YoRRB67hpwt,78.99
shoes,mZ9kHuVvzenqH9EX,89.99
shoes,T9wxh2C5rPgEYZw3,130.58
shoes,xefQaW4GDsHCgHIk,116.99
shoes,xrrAFCK8qSLATs9W,119.99
shoes,SQz0hFdMa2kymqbG,115.03
shoes,vHJwLM8prQE5lxpo,82.36
shoes,jocQ33ArKHorBZQa,105.99
shoes,E42d8ZqfdiCAGH6q,134.79
shoes,jX3ZdEIkRvb9Iw6A,103.5
shoes,Ruoa4q8wj0ADZudk,62.23
shoes,0PdNhjt5cdPH0hyd,143.99
shoes,sbI2GO2iyiNCmKyX,106.99
shoes,qrPupspmMPUbRsp6,104.99
shoes,RBfxaPmZ9c6Twdev,102.99
shoes,7AoyuOaHhhnF8QBf,119.99
shoes,LQv262onJ6CMQV3V,124.57
shoes,LtFcAShX8xvN8X11,123.08
shoes,D1FsbZXvFPQvo9bo,148.16
shoes,gmbAgPIKpibiYuGv,148.99
shoes,m8wH6bZkkGzv3BLI,98.19
shoes,m3Zs3bjHgzCGCStG,136.02
shoes,q1uCMA2jp1bWiAwi,102.38
shoes,hC5dHqQAIzEbrkPV,115.99
shoes,u9jopptA4zeBis3k,113.16
shoes,8WcU0wj6Lh2QwxW2,127.74
shoes,um5o51OO0FnC3TFu,84.23
shoes,m599Ns1RylLuPZWN,128.76
shoes,DbONWkAJfOmwxYag,136.99
shoes,WhKikbFUpEcomytb,147.64
shoes,pSkiyGU0yslUp2z6,119.53
shoes,W8jtIAV6i6KCRjGi,107.99
shoes,PVYNdBhY7Ryp7Rz7,131.99
shoes,c58erpcRcT67S1lm,123.11
shoes,mYPdt44KwdZ6G9Lt,111.99
shoes,pyNmGJD2M2DAJQaX,127.99
shoes,YJ2pxrZorv256UfN,122.05
shoes,XiVxOVy9rCpT3S7O,114.53
shoes,MPmV07bXqdtKE9XD,120.39
shoes,75e8ytQ3oZRGNG1e,128.99
shoes,6DqrRAe9SDDpv4IX,109.81
shoes,spm2A0b4TO6GTTNs,132.83
shoes,3z3KpwpMdzTYEJhh,152.99
shoes,4WlaRbZY8IrYaAqo,101.99
shoes,ofMQmlhfMfkXvEQm,121.99
shoes,MndO6RhV3Mp1rBUq,116.99
shoes,YZqycF9q6jDWwba5,98.99
shoes,dHsz79mOXIgadbo8,81.99
shoes,szqBlTLjfmf38iSk,107.24
shoes,AVHLkEAcoqagpbbQ,133.99
shoes,9EMfIMkJ2jLf1qsO,113.99
shoes,Fcu4FkV43m0WAhNn,102.99
shoes,qOaPFyi7wVtQFSxi,129.99
shoes,KLC71ka9QZ2NC3f4,133.99
shoes,0puuvK1DmUnZqEVx,147.37
shoes,p0J4X5cLnkTuAV4z,85.94
shoes,JqiZvFHHPA5v4RuU,121.99
shoes,sVk7VBmG4c0YoXQA,128.99
shoes,tNYZ85wxWegs5xal,114.76
shoes,LNFN9A77xLWybovV,123.99
shoes,myAjWzk6b7bC726Q,154.99
shoes,8VNwlUHUJNxrHMGB,90.99
shoes,PcURAxLHOMxFomx5,151.99
shoes,u6M3WERbHBNm8PPl,111.97
shoes,fvvWiZW0jckVyzMf,135.99
